Subject,Course Name,Course URL
"Personal Development
          ",Learning How to Learn: Powerful mental tools to help you master tough subjects,https://www.class-central.com/course/coursera-learning-how-to-learn-powerful-mental-tools-to-help-you-master-tough-subjects-2161
"Personal Development
          ",Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential,https://www.class-central.com/course/coursera-mindshift-break-through-obstacles-to-learning-and-discover-your-hidden-potential-8289
"Personal Development
          ",Maintaining a Mindful Life,https://www.class-central.com/course/futurelearn-maintaining-a-mindful-life-9078
"Personal Development
          ",Aprender,https://www.class-central.com/course/coursera-aprender-4631
"Personal Development
          ",Presentation skills: Designing Presentation Slides,https://www.class-central.com/course/coursera-presentation-skills-designing-presentation-slides-9643
"Personal Development
          ",How to Succeed at: Interviews,https://www.class-central.com/course/futurelearn-how-to-succeed-at-interviews-2253
"Personal Development
          ",Presentation skills: Speechwriting and Storytelling,https://www.class-central.com/course/coursera-presentation-skills-speechwriting-and-storytelling-9646
"Personal Development
          ", Know Thyself - The Value and Limits of Self-Knowledge: The Examined Life,https://www.class-central.com/course/coursera-know-thyself-the-value-and-limits-of-self-knowledge-the-examined-life-432
"Personal Development
          ","Work Smarter, Not Harder: Time Management for Personal & Professional Productivity",https://www.class-central.com/course/coursera-work-smarter-not-harder-time-management-for-personal-professional-productivity-2727
"Personal Development
          ",De-Mystifying Mindfulness,https://www.class-central.com/course/coursera-de-mystifying-mindfulness-6951
"Personal Development
          ",Psychology of Personal Growth,https://www.class-central.com/course/edx-psychology-of-personal-growth-8857
"Personal Development
          ",Presentation skills: Public Speaking Project,https://www.class-central.com/course/coursera-presentation-skills-public-speaking-project-9644
"Personal Development
          ",Negotiation and Conflict Resolution,https://www.class-central.com/course/open2study-negotiation-and-conflict-resolution-1644
"Personal Development
          ",Creative Problem Solving,https://www.class-central.com/course/coursera-creative-problem-solving-1636
"Personal Development
          ",Negoziazione e comunicazione efficace,https://www.class-central.com/course/edx-negoziazione-e-comunicazione-efficace-9244
"Personal Development
          ",Introduction to Public Speaking,https://www.class-central.com/course/coursera-introduction-to-public-speaking-889
"Personal Development
          ",Diseña presentaciones eficaces con Powerpoint,https://www.class-central.com/course/edx-disena-presentaciones-eficaces-con-powerpoint-8673
"Personal Development
          ",Presentation skills:  Effective Presentation Delivery,https://www.class-central.com/course/coursera-presentation-skills-effective-presentation-delivery-9645
"Personal Development
          ",業務効率や生産性向上につながる時間管理,https://www.class-central.com/course/coursera--12058
"Personal Development
          ",La Solución del Conflicto Ético,https://www.class-central.com/course/coursera-la-solucion-del-conflicto-etico-4639
"Personal Development
          ",Successful Career Development,https://www.class-central.com/course/coursera-successful-career-development-7018
"Personal Development
          ",Excel aplicado a los negocios (Nivel Avanzado),https://www.class-central.com/course/coursera-excel-aplicado-a-los-negocios-nivel-avanzado-9571
"Personal Development
          ",Excel Skills for Business: Advanced,https://www.class-central.com/course/coursera-excel-skills-for-business-advanced-9639
"Personal Development
          ",Excel Skills for Business: Intermediate II,https://www.class-central.com/course/coursera-excel-skills-for-business-intermediate-ii-9641
"Personal Development
          ",Empathy and Emotional Intelligence at Work,https://www.class-central.com/course/edx-empathy-and-emotional-intelligence-at-work-10292
"Personal Development
          ",Психология карьеры,https://www.class-central.com/course/coursera---11916
"Personal Development
          ",Influencing People,https://www.class-central.com/course/coursera-influencing-people-4243
"Personal Development
          ",Success - Unleash Yourself,https://www.class-central.com/course/canvas-network-success-unleash-yourself-2831
"Personal Development
          ",Career Success Project,https://www.class-central.com/course/coursera-career-success-project-5099
"Personal Development
          ",Personality Types at Work,https://www.class-central.com/course/coursera-personality-types-at-work-7021
"Personal Development
          ",Career Options: Exploring a New Career,https://www.class-central.com/course/coursera-career-options-exploring-a-new-career-7026
"Personal Development
          ",Teamwork Skills: Communicating Effectively in Groups,https://www.class-central.com/course/coursera-teamwork-skills-communicating-effectively-in-groups-9661
"Personal Development
          ",Trabajar para ser feliz,https://www.class-central.com/course/coursera-trabajar-para-ser-feliz-9572
"Personal Development
          ",Converting Challenges into Opportunities,https://www.class-central.com/course/coursera-converting-challenges-into-opportunities-9142
"Personal Development
          ",Mi Primer Empleo (MPE),https://www.class-central.com/course/coursera-mi-primer-empleo-mpe-9375
"Personal Development
          ",Engaging in Persuasive and Credible Communication,https://www.class-central.com/course/coursera-engaging-in-persuasive-and-credible-communication-5538
"Personal Development
          ",Advanced Interviewing Techniques,https://www.class-central.com/course/coursera-advanced-interviewing-techniques-5494
"Personal Development
          ",Business Fundamentals: Effective Communication,https://www.class-central.com/course/futurelearn-business-fundamentals-effective-communication-6389
"Personal Development
          ",Designing Your Personal Weight Loss Plan,https://www.class-central.com/course/coursera-designing-your-personal-weight-loss-plan-7022
"Personal Development
          ",The Arts and Science of Relationships: Understanding Human Needs,https://www.class-central.com/course/coursera-the-arts-and-science-of-relationships-understanding-human-needs-8253
"Personal Development
          ",Digital Footprint,https://www.class-central.com/course/coursera-digital-footprint-8277
"Personal Development
          ",Translation in Practice,https://www.class-central.com/course/coursera-translation-in-practice-9775
"Personal Development
          ",職場素養 (Professionalism) ,https://www.class-central.com/course/coursera--professionalism-2369
"Personal Development
          ",Strategic Career Self-Management,https://www.class-central.com/course/coursera-strategic-career-self-management-5457
"Personal Development
          ",Introducción al mundo de las negociaciones,https://www.class-central.com/course/coursera-introduccion-al-mundo-de-las-negociaciones-5483
"Personal Development
          ",Las estrategias y habilidades para las negociaciones,https://www.class-central.com/course/coursera-las-estrategias-y-habilidades-para-las-negociaciones-5464
"Personal Development
          ",Психология призвания,https://www.class-central.com/course/coursera---8557
"Personal Development
          ",Creativity Toolkit II: Creative Collaboration,https://www.class-central.com/course/coursera-creativity-toolkit-ii-creative-collaboration-8735
"Personal Development
          ",Networking and Volunteerism for Career Success,https://www.class-central.com/course/coursera-networking-and-volunteerism-for-career-success-9670
"Personal Development
          ",Digital Skills: Grow Your Career,https://www.class-central.com/course/futurelearn-digital-skills-grow-your-career-9776
